taxon_id,scientific_name,rank,common_name,iconic_taxon_name,observations_in_region,inat_observations_global,wikipedia_url,photo_url,photo_license_code,photo_attribution
486918,Geranium subcaulescens,species,Grey Crane's-bill,Plantae,12,165,http://en.wikipedia.org/wiki/Geranium_subcaulescens,https://inaturalist-open-data.s3.amazonaws.com/photos/300221409/medium.jpeg,cc-by-nc,"(c) Jakob Fahr, some rights reserved (CC BY-NC), uploaded by Jakob Fahr"
509888,Saxifraga sempervivum,species,,Plantae,10,162,,https://inaturalist-open-data.s3.amazonaws.com/photos/467884754/medium.jpg,cc-by-nc,"(c) uwegrabner, some rights reserved (CC BY-NC)"
346044,Crocus scardicus,species,,Plantae,9,32,https://en.wikipedia.org/wiki/Crocus_scardicus,https://static.inaturalist.org/photos/110954885/medium.jpeg,,"(c) Marko Doboš, all rights reserved, uploaded by Marko Doboš"
60885,Dactylorhiza sambucina,species,Elder-flowered Orchid,Plantae,9,12064,https://en.wikipedia.org/wiki/Dactylorhiza_sambucina,https://inaturalist-open-data.s3.amazonaws.com/photos/140277/medium.jpg,cc-by-nc-nd,"(c) Emilio, some rights reserved (CC BY-NC-ND)"
132603,Gentiana verna,species,spring gentian,Plantae,9,14332,http://en.wikipedia.org/wiki/Gentiana_verna,https://inaturalist-open-data.s3.amazonaws.com/photos/52656295/medium.jpg,cc-by-sa,"(c) xulescu_g, some rights reserved (CC BY-SA)"
83541,Dryas octopetala,species,Eight-petal Mountain-Avens,Plantae,8,13884,http://en.wikipedia.org/wiki/Dryas_octopetala,https://inaturalist-open-data.s3.amazonaws.com/photos/65287013/medium.jpg,cc-by,"(c) William Stephens, some rights reserved (CC BY), uploaded by William Stephens"
858417,Sempervivum macedonicum,species,,Plantae,8,23,https://en.wikipedia.org/wiki/Sempervivum_macedonicum,https://static.inaturalist.org/photos/30902608/medium.jpeg,,"(c) Johannes Klein, all rights reserved, uploaded by Johannes Klein"
130537,Geum montanum,species,Alpine avens,Plantae,7,4881,http://en.wikipedia.org/wiki/Geum_montanum,https://inaturalist-open-data.s3.amazonaws.com/photos/73328334/medium.jpg,cc-by-nc,"(c) René Stalder, some rights reserved (CC BY-NC), uploaded by René Stalder"
464936,Geum coccineum,species,Scarlet Avens,Plantae,6,1287,http://en.wikipedia.org/wiki/Geum_coccineum,https://static.inaturalist.org/photos/28785629/medium.jpeg,,"(c) blancadog, all rights reserved, uploaded by blancadog"
405438,Ptilostemon afer,species,Grecian Thistle,Plantae,6,302,,https://inaturalist-open-data.s3.amazonaws.com/photos/144439145/medium.jpg,cc-by-nc,"(c) josefwirth, some rights reserved (CC BY-NC), uploaded by josefwirth"
168355,Salix reticulata,species,Net-leaved Willow,Plantae,6,4516,http://en.wikipedia.org/wiki/Salix_reticulata,https://inaturalist-open-data.s3.amazonaws.com/photos/106117200/medium.jpeg,cc-by-nc,"(c) Andy Fyon, some rights reserved (CC BY-NC), uploaded by Andy Fyon"
132437,Saxifraga paniculata,species,Livelong Saxifrage,Plantae,6,9659,https://en.wikipedia.org/wiki/Saxifraga_paniculata,https://inaturalist-open-data.s3.amazonaws.com/photos/205226435/medium.jpeg,cc-by-nc,"(c) Mauro Doffria, some rights reserved (CC BY-NC), uploaded by Mauro Doffria"
