lookup_type,inat_taxon_id,scientific_name,rank,common_name,iconic_taxon_name,observations_in_region,inat_observations_global,wikipedia_url,photo_url,photo_license_code,photo_attribution,ScientificName,MatchedCanonical,TaxonId,MatchedName,CurrentName,MatchType,DataSourceId,DataSourceTitle,ClassificationPath,Error,taxon_level,taxon_rank,taxon_rank_source,source_species_count,domain,kingdom,phylum,class,order,family,genus,col_status,col_match_type,col_usage_id,col_dataset_key,col_release_doi,col_source_url,resolver
higher_taxon,,Eukaryota,domain,,,,,,,,,Eukaryota,Eukaryota,CS5HF,Eukaryota,Eukaryota,classification,,,Eukaryota,,higher_taxon,domain,Catalogue of Life,273,Eukaryota,,,,,,,accepted,classification,CS5HF,315834,10.48580/dgykv,https://www.checklistbank.org/dataset/315834,Catalogue of Life 2026-07-17 XR
higher_taxon,,Animalia,kingdom,,Animalia,,,,,,,Animalia,Animalia,N,Animalia,Animalia,classification,,,Eukaryota|Animalia,,higher_taxon,kingdom,Catalogue of Life,89,Eukaryota,Animalia,,,,,,accepted,classification,N,315834,10.48580/dgykv,https://www.checklistbank.org/dataset/315834,Catalogue of Life 2026-07-17 XR
higher_taxon,,Fungi,kingdom,,Fungi,,,,,,,Fungi,Fungi,F,Fungi,Fungi,classification,,,Eukaryota|Fungi,,higher_taxon,kingdom,Catalogue of Life,27,Eukaryota,Fungi,,,,,,accepted,classification,F,315834,10.48580/dgykv,https://www.checklistbank.org/dataset/315834,Catalogue of Life 2026-07-17 XR
higher_taxon,,Plantae,kingdom,,Plantae,,,,,,,Plantae,Plantae,P,Plantae,Plantae,classification,,,Eukaryota|Plantae,,higher_taxon,kingdom,Catalogue of Life,156,Eukaryota,Plantae,,,,,,accepted,classification,P,315834,10.48580/dgykv,https://www.checklistbank.org/dataset/315834,Catalogue of Life 2026-07-17 XR
higher_taxon,,Protozoa,kingdom,,Protozoa,,,,,,,Protozoa,Protozoa,Z,Protozoa,Protozoa,classification,,,Eukaryota|Protozoa,,higher_taxon,kingdom,Catalogue of Life,1,Eukaryota,Protozoa,,,,,,accepted,classification,Z,315834,10.48580/dgykv,https://www.checklistbank.org/dataset/315834,Catalogue of Life 2026-07-17 XR
higher_taxon,,Arthropoda,phylum,,Animalia,,,,,,,Arthropoda,Arthropoda,RT,Arthropoda,Arthropoda,classification,,,Eukaryota|Animalia|Arthropoda,,higher_taxon,phylum,Catalogue of Life,50,Eukaryota,Animalia,Arthropoda,,,,,accepted,classification,RT,315834,10.48580/dgykv,https://www.checklistbank.org/dataset/315834,Catalogue of Life 2026-07-17 XR
higher_taxon,,Ascomycota,phylum,,Fungi,,,,,,,Ascomycota,Ascomycota,SM,Ascomycota,Ascomycota,classification,,,Eukaryota|Fungi|Ascomycota,,higher_taxon,phylum,Catalogue of Life,6,Eukaryota,Fungi,Ascomycota,,,,,accepted,classification,SM,315834,10.48580/dgykv,https://www.checklistbank.org/dataset/315834,Catalogue of Life 2026-07-17 XR
higher_taxon,,Basidiomycota,phylum,,Fungi,,,,,,,Basidiomycota,Basidiomycota,BM,Basidiomycota,Basidiomycota,classification,,,Eukaryota|Fungi|Basidiomycota,,higher_taxon,phylum,Catalogue of Life,21,Eukaryota,Fungi,Basidiomycota,,,,,accepted,classification,BM,315834,10.48580/dgykv,https://www.checklistbank.org/dataset/315834,Catalogue of Life 2026-07-17 XR
higher_taxon,,Bryophyta,phylum,,Plantae,,,,,,,Bryophyta,Bryophyta,BJ5TM,Bryophyta,Bryophyta,classification,,,Eukaryota|Plantae|Bryobiotina|Bryophyta,,higher_taxon,phylum,Catalogue of Life,16,Eukaryota,Plantae,Bryophyta,,,,,accepted,classification,BJ5TM,315834,10.48580/dgykv,https://www.checklistbank.org/dataset/315834,Catalogue of Life 2026-07-17 XR
higher_taxon,,Chordata,phylum,,Animalia,,,,,,,Chordata,Chordata,CH2,Chordata,Chordata,classification,,,Eukaryota|Animalia|Chordata,,higher_taxon,phylum,Catalogue of Life,38,Eukaryota,Animalia,Chordata,,,,,accepted,classification,CH2,315834,10.48580/dgykv,https://www.checklistbank.org/dataset/315834,Catalogue of Life 2026-07-17 XR
